😀 Grinning face                    1F600
🌚 New moon face                    1F31A
🌛 First quarter moon face          1F31B
🌜 Last quarter moon face           1F31C
🌡️ Thermometer 1F321                FE0F
☀️ Sun                              2600 FE0F
🌝 Full moon face                   1F31D
🌞 Sun with face                    1F31E
🪐 Ringed planet                    1FA90
⭐ Star                             2B50
🌟 Glowing star                     1F31F
🌠 Shooting star                    1F320
🌌 Milky way                        1F30C
☁️ Cloud                            2601 FE0F
⛅ Sun behind cloud                 26C5
⛈️ Cloud with lightning and rain    26C8 FE0F
🌤️ Sun behind small cloud           1F324 FE0F
🌥️ Sun behind large cloud           1F325 FE0F
🌦️ Sun behind rain cloud            1F326 FE0F
🌧️ Cloud with rain                  1F327 FE0F
🌨️ Cloud with snow                  1F328 FE0F
🌩️ Cloud with lightning             1F329 FE0F
🌪️ Tornado                          1F32A FE0F
🌫️ Fog                              1F32B FE0F
🌬️ Wind face                        1F32C FE0F
🌀 Cyclone                          1F300
🌈 Rainbow                          1F308
🌂 Closed umbrella                  1F302
☂️ Umbrella                          2602 FE0F
☔ Umbrella with rain drops         2614
⛱️ Umbrella on ground               26F1 FE0F
⚡ High voltage                     26A1
❄️ Snowflake                        2744 FE0F
☃️ Snowman                          2603 FE0F
⛄ Snowman without snow             26C4
☄️ Comet                            2604 FE0F
🔥 Fire                             1F525
💧 Droplet                          1F4A7
🌊 Water wave                       1F30A
🎃 Jack-o-lantern                   1F383
🎄 Christmas tree                   1F384
🎆 Fireworks                        1F386
🎇 Sparkler                         1F387
🧨 Firecracker                      1F9E8
✨ Sparkles                         2728
🎈 Balloon                          1F388
🎉 Party popper                     1F389
🎊 Confetti ball                    1F38A
🎋 Tanabata tree                    1F38B
🎍 Pine decoration                  1F38D
🎎 Japanese dolls                   1F38E
🎏 Carp streamer                    1F38F
🎐 Wind chime                       1F390
🎑 Moon viewing ceremony            1F391
🧧 Red envelope                     1F9E7
🎀 Ribbon                           1F380
🎁 Wrapped gift                     1F381
🎗️ Reminder ribbon                  1F397 FE0F
🎟️ Admission tickets                1F39F FE0F
🎫 Ticket                           1F3AB
🎖️ Military medal                   1F396 FE0F
🏆 Trophy                           1F3C6
🏅 Sports medal                     1F3C5
🥇 1st place medal                  1F947
🥈 2nd place medal                  1F948
🥉 3rd place medal                  1F949
⚽ Soccer ball                      26BD
⚾ Baseball                         26BE
🥎 Softball                         1F94E
🏀 Basketball                       1F3C0
🏐 Volleyball                       1F3D0
🏈 American football                1F3C8
🏉 Rugby football                   1F3C9
🎾 Tennis                           1F3BE
🥏 Flying disc                      1F94F
🎳 Bowling                          1F3B3
🏏 Cricket game                     1F3CF
🏑 Field hockey                     1F3D1
🏒 Ice hockey                       1F3D2
🥍 Lacrosse                         1F94D
🏓 Ping pong                        1F3D3
🏸 Badminton                        1F3F8
🥊 Boxing glove                     1F94A
🥋 Martial arts uniform             1F94B
🥅 Goal net                         1F945
⛳ Flag in hole                     26F3
⛸️ Ice skate                        26F8 FE0F
🎣 Fishing pole                     1F3A3
🤿 Diving mask                      1F93F
🎽 Running shirt                    1F3BD
🎿 Skis                             1F3BF
🛷 Sled                             1F6F7
🥌 Curling stone                    1F94C
🎯 Direct hit                       1F3AF
🪀 Yo-yo                            1FA80
🪁 Kite                             1FA81
🎱 Pool 8 ball                      1F3B1
🔮 Crystal ball                     1F52E
🪄 Magic wand                       1FA84
🧿 Nazar amulet                     1F9FF
🎮 Video game                       1F3AE
🕹️ Joystick                         1F579 FE0F
🎰 Slot machine                     1F3B0
🎲 Game die                         1F3B2
🧩 Puzzle piece                     1F9E9
🧸 Teddy bear                       1F9F8
🪅 Piñata                           1FA85
🪆 Nesting dolls                    1FA86
♠️ Spade suit                        2660 FE0F
♥️ Heart suit                        2665 FE0F
♦️ Diamond suit                      2666 FE0F
♣️ Club suit                         2663 FE0F
♟️ Chess pawn                        265F FE0F
🃏 Joker                            1F0CF
🀄 Mahjong red dragon               1F004
🎴 Flower playing cards             1F3B4
🎭 Performing arts                  1F3AD
🖼️ Framed picture                   1F5BC FE0F
🎨 Artist palette                   1F3A8
